,AÇÃO,ANO,LPA,P/VP,DIV_LIQ/EBITDA,DIV_LIQ/EBIT,M_LIQUIDA,ROE,ROA,CAGR_LUCRO_5A,BOA
252,MOAR3,2020,-0.76,2.83,8.26,8.0,-0.0859,-0.0096,-0.0057,0.0,1
253,MOAR3,2019,8.17,1.95,-4.08,-4.16,88.7695,0.0938,0.0587,-0.1149,1
254,MOAR3,2018,3.33,1.8,0.0,-16.97,11.113,0.036,0.026,-0.1738,1
255,MOAR3,2017,11.52,1.39,0.0,-4.36,51.1911,0.1069,0.0867,-0.0395,1
256,MOAR3,2016,17.24,1.46,0.0,-1.17,59.4399,0.162,0.1349,0.0313,1
257,MOAR3,2015,7.83,0.0,19.86,19.05,24.6543,0.0808,0.0669,-0.0292,1
258,MOAR3,2014,15.05,1.1,0.0,-1.74,37.5468,0.143,0.1344,0.2409,1
259,MOAR3,2013,8.65,1.65,0.0,-3.9,75.1191,0.09,0.0835,0.0,1
260,MRVE3,ATUAL,1.23,0.83,3.29,3.86,0.0852,0.0968,0.027,0.0131,0
261,MRVE3,2021,1.67,0.95,3.24,3.75,0.1131,0.1315,0.0398,0.0764,0
262,MRVE3,2020,1.14,1.61,4.1,5.0,0.0828,0.097,0.0305,0.0009,0
263,MRVE3,2019,1.55,1.98,2.81,3.41,0.114,0.1426,0.047,-0.0085,0
264,MRVE3,2018,1.55,1.19,2.57,2.79,0.1274,0.1491,0.0506,0.1029,0
265,MRVE3,2017,1.47,1.21,3.86,4.14,0.1373,0.1179,0.0449,0.0437,0
266,MRVE3,2016,1.25,0.94,1.21,1.21,0.1311,0.1025,0.0449,-0.0602,0
267,MRVE3,2015,1.22,0.82,1.31,1.31,0.115,0.1147,0.0478,-0.029,0
268,MRVE3,2014,1.51,0.82,1.74,1.83,0.172,0.1641,0.0666,0.157,0
269,MRVE3,2013,0.88,0.99,3.16,3.4,0.1093,0.1032,0.0415,0.1286,0
270,MYPK3,ATUAL,4.04,0.49,2.4,3.22,0.0392,0.1539,0.0417,0.9593,0
271,MYPK3,2021,3.49,0.58,2.46,3.47,0.0392,0.1329,0.037,0.9029,0
272,MYPK3,2020,-3.2,0.69,9.5,-19.03,-0.0561,-0.142,-0.0396,0.0,0
273,MYPK3,2019,2.22,1.1,2.16,3.57,0.0337,0.1045,0.036,0.3785,0
274,MYPK3,2018,1.34,1.23,2.2,3.32,0.0209,0.0689,0.0223,0.034,0
275,MYPK3,2017,0.05,1.33,2.88,4.63,0.0009,0.0027,0.0008,-0.3745,0
276,MYPK3,2016,0.23,0.62,3.3,5.48,0.0032,0.0121,0.0031,-0.3737,0
277,MYPK3,2015,0.52,0.54,3.56,5.95,0.0072,0.0229,0.0062,-0.2136,0
278,MYPK3,2014,0.71,0.84,3.36,5.21,0.0115,0.049,0.0108,0.0422,0
279,MYPK3,2013,1.8,2.03,3.17,4.65,0.0289,0.1395,0.0282,0.0,0
280,ODPV3,ATUAL,0.78,4.3,-0.41,-0.45,0.2411,0.3837,0.2183,0.1561,0
281,ODPV3,2021,0.72,6.0,-0.59,-0.65,0.2064,0.3409,0.1967,0.1198,0
282,ODPV3,2020,0.68,6.43,-1.38,-1.43,0.2046,0.3004,0.188,0.1033,0
283,ODPV3,2019,0.54,8.06,-1.35,-1.41,0.1574,0.2562,0.161,0.079,0
284,ODPV3,2018,0.54,7.11,0.0,-1.26,0.1789,0.2772,0.1729,0.0865,0
285,ODPV3,2017,0.95,9.16,0.0,-0.76,0.3499,0.5447,0.3619,0.2814,0
286,ODPV3,2016,0.41,9.65,0.0,-1.52,0.1582,0.3114,0.159,0.0825,0
287,ODPV3,2015,0.42,7.71,0.0,-1.08,0.1768,0.3391,0.1848,0.0018,0
288,ODPV3,2014,0.37,8.16,0.0,-0.97,0.1684,0.3033,0.1766,0.1838,0
289,ODPV3,2013,0.35,7.51,0.0,-0.98,0.1759,0.2704,0.1752,0.0,0
290,OIBR3,ATUAL,-0.71,3.16,1.6,-5.42,-0.4234,-6.0704,-0.0923,0.0,0
291,OIBR3,2021,-1.29,-6.64,9.87,-14.67,-0.8123,-11.2697,-0.1093,0.0,0
292,OIBR3,2020,-1.77,1.69,8.69,-12.17,-1.1342,-1.3584,-0.1426,0.0,0
293,OIBR3,2019,-1.51,0.29,4.09,-5.36,-0.447,-0.5099,-0.1252,0.0,0
294,OIBR3,2018,29.78,0.05,0.0,-2.25,1.1147,1.0856,0.3758,0.7512,0
295,OIBR3,2017,-7.71,-0.22,17.33,-20.17,-0.2676,-0.461,-0.0927,0.0,0
296,OIBR3,2016,-9.72,0.19,10.55,-31.02,-0.3088,-0.6882,-0.0936,0.0,0
297,OIBR3,2015,-6.02,0.11,12.63,18.38,-0.1889,-0.2691,-0.0502,0.0,0
298,OIBR3,2014,-2.45,0.92,5.73,5.86,-0.156,-0.2476,-0.0429,0.0,0
299,OIBR3,2013,0.83,0.56,3.44,6.23,0.0525,0.1296,0.0213,0.0,0
300,PETR3,ATUAL,12.38,1.2,0.51,0.63,0.2842,0.3935,0.1608,0.0,0
301,PETR3,2021,8.18,1.03,0.97,1.26,0.2356,0.2754,0.1096,0.0,0
302,PETR3,2020,0.54,1.22,3.04,6.62,0.0261,0.023,0.0072,0.0,0
303,PETR3,2019,3.08,1.41,2.11,3.89,0.1328,0.1358,0.0433,0.0,0
304,PETR3,2018,1.98,1.2,2.47,4.3,0.0831,0.093,0.03,0.0181,0
305,PETR3,2017,-0.03,0.84,3.5,7.43,-0.0016,-0.0017,-0.0005,0.0,0
306,PETR3,2016,-1.14,0.88,4.83,19.06,-0.0525,-0.0592,-0.0184,0.0,0
307,PETR3,2015,-2.67,0.44,15.45,-29.73,-0.1083,-0.1368,-0.0387,0.0,0
308,PETR3,2014,-1.65,0.41,32.19,-12.87,-0.064,-0.0699,-0.0272,0.0,0
309,PETR3,2013,1.81,0.6,3.53,6.45,0.0773,0.0677,0.0313,-0.065,0
310,PRIO3,ATUAL,3.04,3.43,0.02,0.03,0.4388,0.3287,0.1649,0.6188,1
311,PRIO3,2021,1.52,2.74,-0.25,-0.35,0.3032,0.2014,0.1091,0.4072,1
312,PRIO3,2020,3.13,3.22,0.95,1.81,0.2378,0.1437,0.0667,0.3261,1
313,PRIO3,2019,4.53,2.47,1.07,1.64,0.3867,0.3385,0.116,0.0,1
314,PRIO3,2018,15.36,1.31,-2.1,-3.04,0.2413,0.2035,0.1333,0.0,1
315,PRIO3,2017,3.86,1.22,0.0,-11.28,0.0952,0.0576,0.04,0.0,1
316,PRIO3,2016,3.66,1.72,0.0,-2.08,0.6073,0.2897,0.2232,0.0,1
317,PRIO3,2015,3.71,0.08,0.0,-5.52,0.4363,0.1208,0.0938,0.0,1
318,PRIO3,2014,-3.37,0.0,0.4,0.34,-2.0604,-1.6134,-0.9453,0.0,1
319,PRIO3,2013,-7.52,0.0,0.14,0.14,-509.1854,-1.5385,-1.2396,0.0,1
320,PSSA3,ATUAL,1.39,1.51,-12.67,-19.47,0.0374,0.0956,0.0196,-0.0036,1
321,PSSA3,2021,2.39,1.44,-6.06,-7.12,0.0728,0.1649,0.0371,0.1102,1
322,PSSA3,2020,5.22,1.77,-5.48,-6.22,0.0907,0.1883,0.046,0.1101,1
323,PSSA3,2019,4.27,2.45,-8.32,-10.32,0.0763,0.1668,0.0422,0.0951,1
324,PSSA3,2018,4.05,2.21,0.0,-8.72,0.0735,0.1715,0.0429,-0.0138,1
325,PSSA3,2017,3.41,1.52,0.0,-27.87,0.0652,0.1427,0.038,0.1003,1
326,PSSA3,2016,2.83,1.24,0.0,-82.26,0.0567,0.1308,0.0361,0.0956,1
327,PSSA3,2015,3.1,1.45,0.0,-27.42,0.0648,0.1551,0.0432,0.0996,1
328,PSSA3,2014,2.71,1.64,0.0,-15.75,0.0611,0.146,0.0391,0.2245,1
